,name,satisfaction_mean,review_num,label,address,link,rating,min_purchase
0,کافه مکعب,,2,"['آبمیوه بستنی', 'میکس شیر']",سه راه ابوذر، روبروی امیرکبیر ۳۳، کافه مکعب,/caffe/menu/%DA%A9%D8%A7%D9%81%D9%87_%D9%85%DA%A9%D8%B9%D8%A8-r-4447q5,"[100, 0, 0, 0, 0]",50000
1,غذای بیرون بر سرو,3.8,45,"['نوشیدنی شرکتی', 'نوشیدنی', 'چلو پلو ایرانی']",میدان آزادی، آزادی دوم، طبقه زیرین سوپرمارکت، غذای بیرون بر سرو,/restaurant/menu/%D8%BA%D8%B0%D8%A7%DB%8C_%D8%A8%DB%8C%D8%B1%D9%88%D9%86_%D8%A8%D8%B1_%D8%B3%D8%B1%D9%88-r-o99o7v,"[58, 11, 18, 0, 13]",50000
2,فست فود نوژان,4.2,162,"['نوشیدنی شرکتی', 'نوشیدنی', 'پیتزا ایتالیایی ']",خیابان شهید بهشتی، گلستان امین، فست فود نوژان,/restaurant/menu/%D9%81%D8%B3%D8%AA_%D9%81%D9%88%D8%AF_%D9%86%D9%88%DA%98%D8%A7%D9%86-r-0gqyoq,"[62, 16, 9, 0, 13]",85000
3,فست فود زرین مشرق زمین,4.1,714,"['فست فود', 'سوخاری', 'نوشیدنی']",خیابان امام خمینی، نبش کوچه ۹، فست فود زرین مشرق زمین,/restaurant/menu/%D9%81%D8%B3%D8%AA_%D9%81%D9%88%D8%AF_%D8%B2%D8%B1%DB%8C%D9%86_%D9%85%D8%B4%D8%B1%D9%82_%D8%B2%D9%85%DB%8C%D9%86-r-0rx6do,"[48, 28, 17, 3, 4]",45000
4,کباب بره صوفیا,,,"['ایرانی', 'تهیه غذا و کترینگ', 'ساندویچ ایرانی']",بلوار طالقانی، جنب کوچه ۲۰، کباب بره صوفیا,/restaurant/menu/%DA%A9%D8%A8%D8%A7%D8%A8_%D8%A8%D8%B1%D9%87_%D8%B5%D9%88%D9%81%DB%8C%D8%A7-r-947m9d,"[0, 0, 0, 0, 0]",100000
5,فست فود قارچ ویچ,,5,"['نوشیدنی شرکتی', 'نوشیدنی', 'سوخاری']",بلوار طالقانی، جنب فروشگاه رفاه، طبقه همکف، فست فود قارچ ویچ,/restaurant/menu/%D9%81%D8%B3%D8%AA_%D9%81%D9%88%D8%AF_%D9%82%D8%A7%D8%B1%DA%86_%D9%88%DB%8C%DA%86-r-qy5rox,"[20, 0, 0, 0, 80]",125000
6,خانه برگر,,,"['فست فود', 'برگر', 'نوشیدنی']",قطب آباد، خیابان بنفشه، کوچه بنفشه ۱۷، پلاک ۱۳، طبقه همکف، خانه برگر,/restaurant/menu/%D8%AE%D8%A7%D9%86%D9%87_%D8%A8%D8%B1%DA%AF%D8%B1-r-mezdny,"[0, 0, 0, 0, 0]",100000
7,مرغ شکم پرهمت,,,"['ایرانی', 'بریان']",بلوار شهید محمدی، پلاک ۱۳۷، مرغ شکم پرهمت,/restaurant/menu/%D9%85%D8%B1%D8%BA_%D8%B4%DA%A9%D9%85_%D9%BE%D8%B1%D9%87%D9%85%D8%AA-r-94wzv6,"[0, 0, 0, 0, 0]",60000
8,رستوران ۹۰,,,"['نوشیدنی شرکتی', 'نوشیدنی', 'چلو پلو ایرانی']",نبش چهارراه عدالت، رستوران ۹۰,/restaurant/menu/%D8%B1%D8%B3%D8%AA%D9%88%D8%B1%D8%A7%D9%86_90-r-o9zdjq,"[0, 0, 0, 0, 0]",100000
9,جعبه سوخاری,4.0,60,"['فست فود', 'سوخاری', 'نوشیدنی']",بلوار طالقانی، پلاک ۸۴، جعبه سوخاری,/restaurant/menu/%D8%AC%D8%B9%D8%A8%D9%87_%D8%B3%D9%88%D8%AE%D8%A7%D8%B1%DB%8C-r-946m7n,"[48, 30, 10, 0, 12]",60000
10,بیرون بر خان,3.9,17,"['نوشیدنی شرکتی', 'نوشیدنی', 'چلو پلو ایرانی']",بلوار امیرکبیر، نبش چهارراه امیرکبیر و بهشتی، بیرون بر خان,/restaurant/menu/%D8%A8%DB%8C%D8%B1%D9%88%D9%86_%D8%A8%D8%B1_%D8%AE%D8%A7%D9%86-r-jyn78q,"[18, 53, 29, 0, 0]",45000
11,فست فود داژو,4.0,27,"['فست فود', 'پیتزا آمریکایی', 'نوشیدنی']",خیابان مدرس، بعد از چهارراه موزه، رو به روی پروژه آفتاب، نبش کوچه ۱۳، فست فود داژو,/restaurant/menu/%D9%81%D8%B3%D8%AA_%D9%81%D9%88%D8%AF_%D8%AF%D8%A7%DA%98%D9%88-r-wdeg8q,"[59, 18, 4, 4, 15]",50000
12,فست فود تاپ تنور,4.6,16,"['فست فود', 'پیتزا ایتالیایی ', 'نوشیدنی']",عباس آباد، کوچه ابوذر ۹/۱، خیابان ابوذر، طبقه همکف، فست فود تاپ تنور,/restaurant/menu/%D9%81%D8%B3%D8%AA_%D9%81%D9%88%D8%AF_%D8%AA%D8%A7%D9%BE_%D8%AA%D9%86%D9%88%D8%B1-r-qyydzy,"[75, 6, 19, 0, 0]",150000
13,فست فود پورت لند,,,"['فست فود', 'پیتزا آمریکایی', 'نوشیدنی']",بلوارجمهوری، جنب پارک مادر، فست فود پورت لند,/restaurant/menu/%D9%81%D8%B3%D8%AA_%D9%81%D9%88%D8%AF_%D9%BE%D9%88%D8%B1%D8%AA_%D9%84%D9%86%D8%AF-r-meem4q,"[0, 0, 0, 0, 0]",95000
14,آشپزخانه و غذای بیرون بر همیشه بهار,3.6,69,"['نوشیدنی شرکتی', 'نوشیدنی', 'خورشت']",خیابان شهید نوری، خیابان غفاری ۷، آشپزخانه و غذای بیرون بر همیشه بهار,/restaurant/menu/%D8%A2%D8%B4%D9%BE%D8%B2%D8%AE%D8%A7%D9%86%D9%87_%D9%88_%D8%BA%D8%B0%D8%A7%DB%8C_%D8%A8%DB%8C%D8%B1%D9%88%D9%86_%D8%A8%D8%B1_%D9%87%D9%85%DB%8C%D8%B4%D9%87_%D8%A8%D9%87%D8%A7%D8%B1-r-277xql,"[36, 20, 22, 9, 13]",50000
15,رستوران زنجیره ای مصطفی کلبادی نژاد,4.2,17,"['نوشیدنی شرکتی', 'نوشیدنی', 'کباب']",بلوار مطهری، بعد از پمپ بنزین، رستوران زنجیره ای مصطفی کلبادی نژاد,/restaurant/menu/%D8%B1%D8%B3%D8%AA%D9%88%D8%B1%D8%A7%D9%86_%D8%B2%D9%86%D8%AC%DB%8C%D8%B1%D9%87_%D8%A7%DB%8C_%D9%85%D8%B5%D8%B7%D9%81%DB%8C_%DA%A9%D9%84%D8%A8%D8%A7%D8%AF%DB%8C_%D9%86%DA%98%D8%A7%D8%AF-r-wdd1w5,"[53, 29, 12, 0, 6]",80000
16,جگرکی باباطاهر,3.5,47,"['نوشیدنی شرکتی', 'نوشیدنی', 'کباب']",خیابان مطهری، نبش کوچه ۴، روبروی بانک تجارت، جگرکی باباطاهر,/restaurant/menu/%D8%AC%DA%AF%D8%B1%DA%A9%DB%8C_%D8%A8%D8%A7%D8%A8%D8%A7%D8%B7%D8%A7%D9%87%D8%B1-r-vxx1e1,"[47, 11, 13, 8, 21]",60000
17,رستوران گیلانی,4.5,49,"['نوشیدنی شرکتی', 'نوشیدنی', 'کباب']",خیابان امام، روبروی بانک سپه، بین ۱۸/۱ و ۲۰، رستوران گیلانی,/restaurant/menu/%D8%B1%D8%B3%D8%AA%D9%88%D8%B1%D8%A7%D9%86_%DA%AF%DB%8C%D9%84%D8%A7%D9%86%DB%8C-r-9447rd,"[51, 49, 0, 0, 0]",135000
18,فست فود کنج گلستان,,6,"['نوشیدنی شرکتی', 'نوشیدنی', 'پیتزا ایتالیایی ']",علی آباد، خیابان شهید بهشتی، بن بست (عمارت گلستان)، پلاک ۱۰۱، فست فود کنج گلستان,/restaurant/menu/%D9%81%D8%B3%D8%AA_%D9%81%D9%88%D8%AF_%DA%A9%D9%86%D8%AC_%DA%AF%D9%84%D8%B3%D8%AA%D8%A7%D9%86-r-7jj5vx,"[67, 0, 0, 0, 33]",90000
19,مرغ بریانی گیلاس,5.0,10,"['نوشیدنی شرکتی', 'نوشیدنی', 'غذای پرسی']",سی متری، خیابان امیرکبیر، بلوار طالقانی، پلاک ۶۰۱، طبقه همکف، مرغ بریانی گیلاس,/restaurant/menu/%D9%85%D8%B1%D8%BA_%D8%A8%D8%B1%DB%8C%D8%A7%D9%86%DB%8C_%DA%AF%DB%8C%D9%84%D8%A7%D8%B3-r-122x12,"[100, 0, 0, 0, 0]",203000
